Source Name,Column Name,Data Type,Width,Hierarchy,Level,Locked,Measure,Analyze by Date,Unknown Value
Opp Partners,KNVP_KUNNR,Varchar,10,,,True,False,False,
Opp Partners,KNVP_VKORG,Varchar,4,,,True,False,False,
Opp Partners,KNVP_VTWEG,Varchar,2,,,True,False,False,
Opp Partners,KNVP_SPART,Varchar,2,,,True,False,False,
Opp Partners,KNVP_PARVW,Varchar,2,,,True,False,False,
Opp Partners,KNVP_PARZA,Varchar,3,,,True,False,False,
Opp Partners,KNVP_KUNN2,Varchar,10,,,True,False,False,
Opp Partners,KNVP_LIFNR,Varchar,10,,,True,False,False,
Opp Partners,KNVP_PERNR,Varchar,8,,,True,False,False,
Opp Partners,KNVP_PARNR,Varchar,10,,,True,False,False,
Opp Partners,KNVP_KNREF,Varchar,10,,,True,False,False,
Opp Partners,KNVP_DEFPA,Varchar,1,,,True,False,False,
Opp Partners,TPAR_NRART,Varchar,2,,,True,False,False,
AUSP,AUSP_OBJEK,Varchar,10,,,True,False,False,
AUSP,CABN_ATNAM,Varchar,18,,,True,False,False,
AUSP,AUSP_ATINN,Varchar,10,,,True,False,False,
AUSP,AUSP_ATZHL,Varchar,3,,,True,False,False,
AUSP,AUSP_ATWRT,Varchar,3,,,True,False,False,
AUSP,AUSP_ATFLV,Float,22,,,True,False,False,
SC-Opportunities,Opp Number,Varchar,18,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Opp Name,Varchar,39,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Opp City,Varchar,35,,,False,False,False,
SC-Opportunities,Opp Sort Field,Varchar,13,,,False,False,False,
SC-Opportunities,Created On,Date,10,,,False,False,False,
SC-Opportunities,Account Group Key,Varchar,4,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Division Key,Varchar,2,Division,Division,False,False,False,
SC-Opportunities,Opp Quotation Date,Date,10,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Opp Delivery Date,Date,10,Opportunity,Opportunity,False,False,True,
SC-Opportunities,Opp Lifetime Value,Float,10,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Opp Probability,Integer,3,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Opp Reason for Result Key,Varchar,3,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Opp Type Key,Varchar,3,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Opp Status Key,Varchar,3,,,False,False,False,
SC-Opportunities,Opp Level Key,Varchar,2,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Opp Created Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Opp Created Time,Integer,6,,,False,False,False,
SC-Opportunities,Opp Changed Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Opp Changed Time,Integer,6,,,False,False,False,
SC-Opportunities,Opp Currency,Varchar,3,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Sales Org Key,Varchar,4,Sales Org,Sales Org,False,False,False,
SC-Opportunities,Sales Office Key,Varchar,4,,,False,False,False,
SC-Opportunities,Opp Reason for Result,Varchar,40,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Opp Type,Varchar,40,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Opp Level,Varchar,40,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Comp Code Key,Varchar,4,Company,Company,False,False,False,
SC-Opportunities,Currency Key HC,Varchar,3,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Customer Key,Varchar,18,Customer,Customer,False,False,False,
SC-Opportunities,Outside Sales Key,Varchar,10,,,False,False,False,
SC-Opportunities,Opp Value per Year,Float,18,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Opp Closing Date,Date,10,Opportunity,Opportunity,False,True,True,
SC-Opportunities,Unweighted Opp Value DC,Float,18,,,False,True,False,
SC-Opportunities,Level 10 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Level 20 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Level 30 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Level 40 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Level 50 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Level 60 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Level 70 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Level 80 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Analysis Date,Date,10,Opportunity,Opportunity,False,True,True,
SC-Opportunities,Security Key,Varchar,27,Crm Security Key,,False,True,False,
SC-Opportunities,Reporting Month,Varchar,20,Reporting Month,Reporting Month,False,True,False,
SC-Opportunities,Unweighted Opp Value HC,Float,18,,,False,True,False,
SC-Opportunities,Unweighted Opp Value RC,Float,18,,,False,True,False,
SC-Opportunities,Unweighted Opp Value GC,Float,18,,,False,True,False,
SC-Opportunities,Currency Key DC,Varchar,3,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Currency Key RC,Varchar,3,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Currency Key GC,Varchar,3,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Weighted Opp Value RC,Float,18,,,False,True,False,
SC-Opportunities,Weighted Opp Value GC,Float,18,,,False,True,False,
SC-Opportunities,Weighted Opp Value HC,Float,18,,,False,True,False,
SC-Opportunities,Weighted Opp Value DC,Float,18,,,False,True,False,
SC-Opportunities,CustArea Key,Varchar,22,Customer Sales Area,Customer Sales Area,False,False,False,
SC-Opportunities,Opp Source,Varchar,20,Opportunity,Opportunity,False,True,False,
SC-Opportunities,Is Open,Varchar,4,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Is Closed,Varchar,4,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Is Lost,Varchar,4,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Is Closed except Declined,Varchar,4,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Is Won,Varchar,4,Opportunity,Opportunity,False,False,False,
SC-Opportunities,Opp Status,Varchar,15,Opportunity,Opportunity,False,True,False,
SC-Level History,Opp Key,Varchar,10,,,False,False,False,
SC-Level History,Level 10 Date,Date,10,,,False,False,False,
SC-Level History,Level 20 Date,Date,10,,,False,False,False,
SC-Level History,Level 30 Date,Date,10,,,False,False,False,
SC-Level History,Level 40 Date,Date,10,,,False,False,False,
SC-Level History,Level 50 Date,Date,10,,,False,False,False,
SC-Level History,Level 60 Date,Date,10,,,False,False,False,
SC-Level History,Level 70 Date,Date,10,,,False,False,False,
SC-Level History,Level 80 Date,Date,10,,,False,False,False,
SC-Quotations,Quote Number,Varchar,10,Quotation,Quotation,False,True,False,
SC-Quotations,Item Key,Varchar,18,Item,Item,False,False,False,
SC-Quotations,Quote Created Date,Date,10,Quotation,Quotation,False,False,False,
SC-Quotations,SO Document Category,Varchar,1,Quotation,Quotation,False,False,False,
SC-Quotations,SO Document Type,Varchar,4,Quotation,Quotation,False,False,False,
SC-Quotations,Sales Org Key,Varchar,4,Sales Org,Sales Org,False,False,False,
SC-Quotations,Distr Channel,Varchar,2,Quotation,Quotation,False,False,False,
SC-Quotations,Sales Office Key,Varchar,4,,,False,False,False,
SC-Quotations,SO Doc Condition,Varchar,10,Quotation,Quotation,False,False,False,
SC-Quotations,Customer Key,Varchar,10,Customer,Customer,False,False,False,
SC-Quotations,Quote Change Date,Date,10,Quotation,Quotation,False,False,False,
SC-Quotations,Quote Qty,Float,17,Quotation,Quotation,False,True,False,
SC-Quotations,Base Unit,Varchar,3,Quotation,Quotation,False,False,False,
SC-Quotations,Division Key,Varchar,2,Division,Division,False,False,False,
SC-Quotations,Quote Value DC,Float,18,,,False,True,False,
SC-Quotations,Currency Key DC,Varchar,3,Quotation,Quotation,False,True,False,
SC-Quotations,Plant Key,Varchar,4,Quotation,Quotation,False,False,False,
SC-Quotations,Order Date,Date,10,Quotation,Quotation,False,False,False,
SC-Quotations,Analysis Date,Date,10,Quotation,Quotation,False,False,True,
SC-Quotations,Reporting Month,Varchar,20,Reporting Month,Reporting Month,False,False,False,
SC-Quotations,Quote Value RC,Float,18,,,False,True,False,
SC-Quotations,Quote Value HC,Float,18,,,False,True,False,
SC-Quotations,Quote Value GC,Float,18,,,False,True,False,
SC-Quotations,Security Key,Varchar,27,Crm Security Key,,False,True,False,
SC-Quotations,Currency Key GC,Varchar,3,Quotation,Quotation,False,True,False,
SC-Quotations,Currency Key RC,Varchar,3,Quotation,Quotation,False,True,False,
SC-Quotations,Currency Key HC,Varchar,3,Quotation,Quotation,False,True,False,
SC-Quotations,Quote Key,Varchar,16,Quotation,Quotation,False,False,False,
SC-Quotations,Opp Number,Varchar,16,Opportunity,Opportunity,False,False,False,
SC-Quotations,Comp Code Key,Varchar,10,Company,Company,False,False,False,
SC-Quotations,Quote Valid From,Date,10,Quotation,Quotation,False,False,False,
SC-Quotations,Quote Valid To,Date,10,Quotation,Quotation,False,False,False,
SC-Quotations,Order Reason Key,Varchar,3,Quotation,Quotation,False,False,False,
SC-Quotations,Order Reason,Varchar,40,Quotation,Quotation,False,False,False,
SC-Quotations,Delivery Date,Date,10,Quotation,Quotation,False,False,False,
SC-Quotations,Outside Sales Key,Varchar,10,,,False,False,False,
SC-Quotations,Delivery Customer Key,Varchar,10,,,False,False,False,
SC-Quotations,CustArea Key,Varchar,22,Customer Sales Area,Customer Sales Area,False,False,False,
SC-Quotations,Closing Date,Date,10,Quotation,Quotation,False,False,False,
SC-Quotations,Quote Item,Varchar,6,Quotation,Quotation,False,False,False,
VBPA,VBPA_MANDT,Varchar,3,,,True,False,False,
VBPA,VBPA_VBELN,Varchar,10,,,True,False,False,
VBPA,VBPA_POSNR,Varchar,6,,,True,False,False,
VBPA,VBPA_PARVW,Varchar,2,,,True,False,False,
VBPA,VBPA_KUNNR,Varchar,10,,,True,False,False,
VBPA,VBPA_LIFNR,Varchar,10,,,True,False,False,
VBPA,VBPA_PERNR,Varchar,16,,,True,False,False,
VBPA,VBPA_PARNR,Integer,10,,,True,False,False,
VBPA,VBPA_ADRNR,Varchar,34,,,True,False,False,
VBPA,VBPA_ABLAD,Varchar,13,,,True,False,False,
VBPA,VBPA_LAND1,Varchar,2,,,True,False,False,
VBPA,VBPA_ADRDA,Varchar,1,,,True,False,False,
VBPA,VBPA_XCPDK,Varchar,1,,,True,False,False,
VBPA,VBPA_HITYP,Varchar,1,,,True,False,False,
VBPA,VBPA_PRFRE,Varchar,1,,,True,False,False,
VBPA,VBPA_BOKRE,Varchar,1,,,True,False,False,
VBPA,VBPA_HISTU,Integer,2,,,True,False,False,
VBPA,VBPA_KNREF,Varchar,30,,,True,False,False,
VBPA,VBPA_LZONE,Varchar,10,,,True,False,False,
VBPA,VBPA_HZUOR,Integer,2,,,True,False,False,
VBPA,VBPA_STCEG,Varchar,20,,,True,False,False,
VBPA,VBPA_PARVW_FF,Varchar,1,,,True,False,False,
VBPA,VBPA_ADRNP,Varchar,10,,,True,False,False,
VBPA,VBPA_KALE,Varchar,1,,,True,False,False,
SC-Reporting Month,Reporting Month Sequence,Integer,10,Reporting Month,Reporting Month,False,False,False,
SC-Reporting Month,Reporting Month,Varchar,10,Reporting Month,Reporting Month,False,False,False,
Opportunities,KNA1_KUNNR,Varchar,10,,,True,False,False,
Opportunities,KNA1_LAND1,Varchar,2,,,True,False,False,
Opportunities,KNA1_NAME1,Varchar,39,,,True,False,False,
Opportunities,KNA1_NAME2,Varchar,40,,,True,False,False,
Opportunities,KNA1_ORT01,Varchar,10,,,True,False,False,
Opportunities,KNA1_REGIO,Varchar,5,,,True,False,False,
Opportunities,KNA1_SORTL,Varchar,13,,,True,False,False,
Opportunities,KNA1_ERDAT,Date,10,,,True,False,False,
Opportunities,KNA1_KTOKD,Varchar,4,,,True,False,False,
Opportunities,KNA1_KATR5,Varchar,2,,,True,False,False,
Opportunities,KNA1_KATR6,Varchar,3,,,True,False,False,
Opportunities,KNA1_KATR10,Varchar,3,,,True,False,False,
Opportunities,KNA1_/ITML/ANGEBOTDAT,Date,10,,,True,False,False,
Opportunities,KNA1_/ITML/LIEFTERM,Date,10,,,True,False,False,
Opportunities,KNA1_/ITML/VOLUMEN,Integer,10,,,True,False,False,
Opportunities,KNA1_/ITML/CHANCE,Integer,3,,,True,False,False,
Opportunities,KNA1_/ITML/ERG_GRUND,Varchar,3,,,True,False,False,
Opportunities,KNA1_/ITML/OPPTYP,Varchar,3,,,True,False,False,
Opportunities,KNA1_/ITML/OPPSTATUS,Varchar,3,,,True,False,False,
Opportunities,KNA1_/ITML/OPPSTADIUM,Varchar,2,,,True,False,False,
Opportunities,KNA1_/ITML/ERFDATUM,Date,10,,,True,False,False,
Opportunities,KNA1_/ITML/ERFZEIT,Varchar,6,,,True,False,False,
Opportunities,KNA1_/ITML/AENDATUM,Date,10,,,True,False,False,
Opportunities,KNA1_/ITML/AENZEIT,Integer,6,,,True,False,False,
Opportunities,KNA1_/ITML/WAEHRUNG,Varchar,3,,,True,False,False,
Opportunities,KNVV_VKORG,Varchar,4,,,True,False,False,
Opportunities,KNVV_VTWEG,Varchar,2,,,True,False,False,
Opportunities,KNVV_SPART,Varchar,2,,,True,False,False,
Opportunities,KNVV_VKBUR,Varchar,4,,,True,False,False,
Opportunities,TVKO_BUKRS,Varchar,4,,,True,False,False,
Opportunities,T001_WAERS,Varchar,3,,,True,False,False,
Opportunities,KNA1_/ITML/ABSCHL_DAT,Date,10,,,True,False,False,
Opportunities,KNA1_/ITML/FWERT1,Float,12,,,True,False,False,
Opportunities,/ITML/CRM_ERGGRT_LTEXT,Varchar,28,,,True,False,False,
Opportunities,/ITML/CRM_OPTYPT_LTEXT,Varchar,21,,,True,False,False,
Opportunities,/ITML/CRM_OPSTDT_LTEXT,Varchar,21,,,True,False,False,
Quotations,VBAP_VBELN,Varchar,10,,,True,False,False,
Quotations,VBAP_POSNR,Varchar,6,,,True,False,False,
Quotations,VBAK_ERDAT,Date,10,,,True,False,False,
Quotations,VBAK_VBELN,Varchar,10,,,True,False,False,
Quotations,VBAK_ERZET,Varchar,8,,,True,False,False,
Quotations,VBAK_ERNAM,Varchar,8,,,True,False,False,
Quotations,VBAK_AUDAT,Date,10,,,True,False,False,
Quotations,VBAK_VBTYP,Varchar,1,,,True,False,False,
Quotations,VBAK_TRVOG,Integer,1,,,True,False,False,
Quotations,VBAK_AUART,Varchar,4,,,True,False,False,
Quotations,VBAK_NETWR,Varchar,12,,,True,False,False,
Quotations,VBAK_WAERK,Varchar,3,,,True,False,False,
Quotations,VBAK_VKORG,Varchar,4,,,True,False,False,
Quotations,VBAK_VTWEG,Varchar,2,,,True,False,False,
Quotations,VBAK_SPART,Varchar,2,,,True,False,False,
Quotations,VBAK_VKGRP,Varchar,3,,,True,False,False,
Quotations,VBAK_VKBUR,Varchar,4,,,True,False,False,
Quotations,VBAK_KNUMV,Varchar,10,,,True,False,False,
Quotations,VBAK_KALSM,Varchar,6,,,True,False,False,
Quotations,VBAK_KUNNR,Varchar,10,,,True,False,False,
Quotations,VBAK_AEDAT,Date,10,,,True,False,False,
Quotations,VBAK_BUKRS_VF,Varchar,4,,,True,False,False,
Quotations,VBAP_MATNR,Varchar,18,,,True,False,False,
Quotations,VBAP_MATKL,Varchar,7,,,True,False,False,
Quotations,VBAP_PSTYV,Varchar,4,,,True,False,False,
Quotations,VBAP_ABGRU,Varchar,2,,,True,False,False,
Quotations,VBAP_ZMENG,Varchar,17,,,True,False,False,
Quotations,VBAP_ZIEME,Varchar,3,,,True,False,False,
Quotations,VBAP_MEINS,Varchar,2,,,True,False,False,
Quotations,VBAP_KDMAT,Varchar,40,,,True,False,False,
Quotations,VBAP_SPART,Varchar,2,,,True,False,False,
Quotations,VBAP_NETWR,Varchar,12,,,True,False,False,
Quotations,VBAP_WAERK,Varchar,3,,,True,False,False,
Quotations,VBAP_KWMENG,Varchar,19,,,True,False,False,
Quotations,VBAP_LSMENG,Varchar,19,,,True,False,False,
Quotations,VBAP_KBMENG,Varchar,19,,,True,False,False,
Quotations,VBAP_KLMENG,Varchar,19,,,True,False,False,
Quotations,VBAP_VRKME,Varchar,3,,,True,False,False,
Quotations,VBAP_VGBEL,Varchar,10,,,True,False,False,
Quotations,VBAP_VGPOS,Varchar,6,,,True,False,False,
Quotations,VBAP_WERKS,Varchar,4,,,True,False,False,
Quotations,VBAP_LGORT,Varchar,4,,,True,False,False,
Quotations,VBAP_VSTEL,Varchar,4,,,True,False,False,
Quotations,VBAP_ROUTE,Varchar,2,,,True,False,False,
Quotations,VBAP_ERDAT,Date,10,,,True,False,False,
Quotations,VBAP_ERNAM,Varchar,8,,,True,False,False,
Quotations,VBAP_ERZET,Varchar,8,,,True,False,False,
Quotations,VBAP_NETPR,Varchar,12,,,True,False,False,
Quotations,VBAP_WAVWR,Varchar,12,,,True,False,False,
Quotations,VBAP_STCUR,Varchar,8,,,True,False,False,
Quotations,VBAP_AEDAT,Date,10,,,True,False,False,
Quotations,VBKD_PRSDT,Date,10,,,True,False,False,
Quotations,VBUP_LFSTA,Varchar,1,,,True,False,False,
Quotations,VBUP_LFGSA,Varchar,1,,,True,False,False,
Quotations,VBUP_ABSTA,Varchar,1,,,True,False,False,
Quotations,VBUP_GBSTA,Varchar,1,,,True,False,False,
Quotations,VBAP_BEDAE,Varchar,3,,,True,False,False,
Quotations,VBAP_OBJNR,Varchar,18,,,True,False,False,
Quotations,VBAP_UMVKN,Varchar,10,,,True,False,False,
Quotations,VBAP_UMVKZ,Varchar,10,,,True,False,False,
Quotations,VBEP_ETENR,Varchar,4,,,True,False,False,
Quotations,VBEP_ETTYP,Varchar,2,,,True,False,False,
Quotations,VBEP_EDATU,Date,10,,,True,False,False,
Quotations,VBEP_EZEIT,Varchar,6,,,True,False,False,
Quotations,VBEP_WMENG,Varchar,13,,,True,False,False,
Quotations,VBEP_BMENG,Varchar,13,,,True,False,False,
Quotations,VBEP_VRKME,Varchar,3,,,True,False,False,
Quotations,VBEP_LMENG,Varchar,13,,,True,False,False,
Quotations,VBEP_MEINS,Varchar,2,,,True,False,False,
Quotations,VBEP_LFREL,Varchar,1,,,True,False,False,
Quotations,VBEP_ETART,Varchar,1,,,True,False,False,
Quotations,VBEP_BDART,Varchar,2,,,True,False,False,
Quotations,VBEP_WADAT,Date,10,,,True,False,False,
Quotations,VBAK_ANGDT,Date,10,,,True,False,False,
Quotations,VBAK_BNDDT,Date,10,,,True,False,False,
Quotations,VBAK_AUGRU,Varchar,3,,,True,False,False,
Quotations,VBAK_VDATU,Date,10,,,True,False,False,
Quotations,TVAUT_BEZEI,Varchar,40,,,True,False,False,
Quotations,T001_WAERS,Varchar,3,,,True,False,False,
Quotations,VBAK_ZZ_AW_DATE,Date,9,,,True,False,False,
Quotations,VBAK_ZZ_CALC_PROM,Varchar,1,,,True,False,False,
Quotations,VBAP_GRPOS,Varchar,6,,,True,False,False,
Quotations,VBAK_ZZ_SFDC_OPPS,Varchar,18,,,True,False,False,
SC-Exchange Rates,Valid From Date,Date,10,,,False,False,False,
SC-Exchange Rates,Valid To Date,Date,10,,,False,False,False,
SC-Exchange Rates,Exchange Rate,Float,11,,,False,False,False,
SC-Exchange Rates,From Currency Key,Varchar,5,,,False,False,False,
SC-Exchange Rates,To Currency Key,Varchar,5,,,False,False,False,
SC-Orphan Opp,Opp Number,Varchar,16,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Opp Name,Varchar,39,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Opp City,Varchar,35,,,False,False,False,
SC-Orphan Opp,Opp Sort Field,Varchar,13,,,False,False,False,
SC-Orphan Opp,Created On,Date,10,,,False,False,False,
SC-Orphan Opp,Account Group Key,Varchar,4,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Division Key,Varchar,2,Division,Division,False,False,False,
SC-Orphan Opp,Opp Quotation Date,Date,10,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Opp Delivery Date,Date,10,Opportunity,Opportunity,False,False,True,
SC-Orphan Opp,Opp Lifetime Value,Float,10,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Opp Probability,Integer,3,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Opp Reason for Result Key,Varchar,3,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Opp Type Key,Varchar,3,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Opp Status Key,Varchar,3,,,False,False,False,
SC-Orphan Opp,Opp Level Key,Varchar,2,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Opp Created Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Opp Created Time,Integer,6,,,False,False,False,
SC-Orphan Opp,Opp Changed Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Opp Changed Time,Integer,6,,,False,False,False,
SC-Orphan Opp,Opp Currency,Varchar,3,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Sales Org Key,Varchar,4,Sales Org,Sales Org,False,False,False,
SC-Orphan Opp,Sales Office Key,Varchar,4,,,False,False,False,
SC-Orphan Opp,Opp Reason for Result,Varchar,40,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Opp Type,Varchar,40,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Opp Level,Varchar,40,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Comp Code Key,Varchar,4,Company,Company,False,False,False,
SC-Orphan Opp,Currency Key HC,Varchar,3,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Customer Key,Varchar,18,Customer,Customer,False,False,False,
SC-Orphan Opp,Outside Sales Key,Varchar,10,,,False,False,False,
SC-Orphan Opp,Opp Value per Year,Float,18,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Opp Closing Date,Date,12,Opportunity,Opportunity,False,True,True,
SC-Orphan Opp,Unweighted Opp Value DC,Float,18,,,False,True,False,
SC-Orphan Opp,Level 10 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Level 20 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Level 30 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Level 40 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Level 50 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Level 60 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Level 70 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Level 80 Date,Date,10,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Analysis Date,Date,10,Opportunity,Opportunity,False,True,True,
SC-Orphan Opp,Security Key,Varchar,27,Crm Security Key,,False,True,False,
SC-Orphan Opp,Reporting Month,Varchar,20,Reporting Month,Reporting Month,False,True,False,
SC-Orphan Opp,Unweighted Opp Value HC,Float,18,,,False,True,False,
SC-Orphan Opp,Unweighted Opp Value RC,Float,18,,,False,True,False,
SC-Orphan Opp,Unweighted Opp Value GC,Float,18,,,False,True,False,
SC-Orphan Opp,Currency Key DC,Varchar,3,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Currency Key RC,Varchar,3,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Currency Key GC,Varchar,3,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Weighted Opp Value RC,Float,18,,,False,True,False,
SC-Orphan Opp,Weighted Opp Value GC,Float,18,,,False,True,False,
SC-Orphan Opp,Weighted Opp Value HC,Float,18,,,False,True,False,
SC-Orphan Opp,Weighted Opp Value DC,Float,18,,,False,True,False,
SC-Orphan Opp,CustArea Key,Varchar,22,Customer Sales Area,Customer Sales Area,False,False,False,
SC-Orphan Opp,Opp Source,Varchar,20,Opportunity,Opportunity,False,True,False,
SC-Orphan Opp,Is Closed,Varchar,4,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Is Open,Varchar,4,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Is Lost,Varchar,4,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Is Won,Varchar,4,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Is Closed except Declined,Varchar,4,Opportunity,Opportunity,False,False,False,
SC-Orphan Opp,Opp Status,Varchar,15,Opportunity,Opportunity,False,True,False,
SC-Opportunities Snapshot,Opp Number,Varchar,18,Opportunity,Opportunity,False,True,False,
SC-Opportunities Snapshot,Opp Name,Varchar,39,Opportunity,Opportunity,False,False,False,
SC-Opportunities Snapshot,Opp City,Varchar,35,,,False,False,False,
SC-Opportunities Snapshot,Opp Sort Field,Varchar,13,,,False,False,False,
SC-Opportunities Snapshot,Created On,Date,10,,,False,False,False,
SC-Opportunities Snapshot,Account Group Key,Varchar,4,Opportunity,Opportunity,False,False,False,
